nb,section,x,y,grid.ref,bearing,sp,number,logger,qc
B1,b,-1.308809725,51.76481187,SP4779707574,350,G,1,331,1
B10,b,-1.309306062,51.76457202,SP4776307547,40,G,10,323,1
B107,b,-1.309100942,51.76375109,SP4777807456,50,G,107,329,1
B108,b,-1.308661051,51.76410968,SP4780807496,130,G,108,334,1
B11,b,-1.309505208,51.76481595,SP4774907574,350,G,11,332,1
B111,b,-1.309487017,51.76505861,SP4775007601,190,G,111,327,1
B112,b,-1.309235075,51.76542577,SP4776707642,110,G,112,736,1
B117,b,-1.308046729,51.76638084,SP4784807749,160,G,117,573,1
B119,b,-1.307029421,51.76657266,SP4791807771,300,G,119,567,1
B12,b,-1.309264223,51.76544329,SP4776507644,300,G,12,562,1
B121,b,-1.306229451,51.76676575,SP4797307793,250,G,121,566,1
B122,b,-1.307167439,51.76702303,SP4790807821,180,G,122,570,1
B123,b,-1.307846954,51.76712594,SP4786107832,220,G,123,561,1
B125,b,-1.308361108,51.76667041,SP4782607781,50,G,125,578,1
B131,b,-1.310207229,51.76534201,SP4770007632,220,G,131,326,1
B139,b,-1.311607541,51.76365969,SP4760507444,340,G,139,173,1
B14,b,-1.309055439,51.76580234,SP4777907684,110,G,14,571,1
B140,b,-1.312474199,51.76351641,SP4754507427,260,G,140,171,1
B145,b,-1.312717702,51.76415144,SP4752807498,80,G,145,161,1
B147,b,-1.312181745,51.76413932,SP4756507497,290,G,147,168,1
B148,b,-1.311711673,51.76455915,SP4759707544,280,G,148,179,1
B15,b,-1.308580716,51.76557477,SP4781207659,50,G,15,419,1
B159,b,-1.313393272,51.76592665,SP4747907695,140,G,159,337,1
B16,b,-1.308310566,51.76618459,SP4783007727,340,G,16,572,1
B161,b,-1.314102982,51.76549023,SP4743107646,280,G,161,182,1
B162,b,-1.314181557,51.76508608,SP4742607601,270,G,162,170,1
B165,b,-1.313728937,51.76435515,SP4745807520,60,G,165,167,1
B168,b,-1.313176409,51.76352474,SP4749707428,90,G,168,172,1
B170,b,-1.312311175,51.76324994,SP4755707398,40,G,170,169,1
B177,b,-1.311742706,51.7663306,SP4759307741,150,G,177,111,1
B182,b,-1.312125596,51.7668813,SP4756607802,90,G,182,109,1
B184,b,-1.311495968,51.7673092,SP4760907850,250,G,184,106,1
B185,b,-1.311081217,51.76790019,SP4763707916,130,G,185,410,1
B187,b,-1.309428424,51.76829204,SP4775007960,320,G,187,406,1
B188,b,-1.309651304,51.76853917,SP4773507988,210,G,188,414,1
B189,b,-1.309355735,51.76891506,SP4775508030,80,G,189,412,1
B190,b,-1.308883116,51.76949672,SP4778708095,110,G,190,416,1
B191,b,-1.309512252,51.7691048,SP4774408051,100,G,191,401,1
B192,b,-1.308438024,51.76922436,SP4781808065,220,G,192,417,1
B193,b,-1.308505874,51.7685774,SP4781407993,240,G,193,408,1
B194,b,-1.307611868,51.76828442,SP4787607961,270,G,194,103,no logger
B194A,b,-1.308034561,51.76812506,SP4784707943,340,G,194a,102,1
B196,b,-1.309830025,51.76727246,SP4772407847,330,G,196,110,1
B199,b,-1.310889454,51.76621771,SP4765207729,190,G,199,339,1
B20,b,-1.306611007,51.76645331,SP4794707758,340,G,20,575,1
B201,b,-1.313281379,51.76711284,SP4748607827,70,G,201,560,1
B203,b,-1.310785205,51.76354671,SP4766207432,20,G,203,176,1
B204,b,-1.307002643,51.76642864,SP4792007755,90,G,204,568,1
B205,b,-1.307615337,51.76616251,SP4787807725,300,G,205,yes,no logger
B207,b,-1.312627556,51.76722591,SP4753107840,250,G,207,119,1
B208,b,-1.311862592,51.76702363,SP4758407818,310,G,208,107,1
B21,b,-1.306233309,51.76651402,SP4797307765,320,G,21,577,1
B211,b,-1.31160273,51.7660061,SP4760307705,195,G,211,338,1
B212,b,-1.312799637,51.76639073,SP4752007747,320,G,212,116,1
B213,b,-1.311550922,51.76655426,SP4760607766,340,G,213,112,1
B214,b,-1.311502941,51.76685069,SP4760907799,140,G,214,114,1
B215,b,-1.311097497,51.76683033,SP4763707797,140,G,215,115,1
B216,b,-1.310709008,51.76664823,SP4766407777,320,G,216,113,1
B217,b,-1.309426224,51.76714421,SP4775207833,250,G,217,108,1
B222,b,-1.31041432,51.76316205,SP4768807389,320,G,222,165,1
B223,b,-1.310049941,51.7642527,SP4771207511,180,G,223,333,1
B224,b,-1.309432075,51.76771069,SP4775107896,300,G,224,101,1
B225,b,-1.308759213,51.76812033,SP4779707942,30,G,225,403,1
B226,b,-1.308113121,51.76867399,SP4784108004,320,G,226,404,1
B227,b,-1.30921558,51.76955262,SP4776408101,10,G,227,418,1
B228,b,-1.30698489,51.7675884,SP4792007884,210,G,228,104,1
B23,b,-1.307679453,51.76765543,SP4787207891,70,G,23,105,1
B24,b,-1.307993641,51.76700991,SP4785107819,280,G,24,579,1
B25,b,-1.308042195,51.76667752,SP4784807782,140,G,25,574,1
B26,b,-1.308824096,51.76671809,SP4779407786,300,G,26,564,1
B27,b,-1.308915976,51.76639494,SP4778807750,100,G,27,580,1
B30,b,-1.310197641,51.76597134,SP4770007702,150,G,30,340,1
B31,b,-1.310095431,51.76507117,SP4770807602,160,G,31,328,1
B36,b,-1.310396993,51.7642997,SP4768807516,220,G,36,335,1
B37,b,-1.311282331,51.76420598,SP4762707505,80,G,37,180,1
B38,b,-1.311471783,51.76413516,SP4761407497,300,G,38,162,1
B39,b,-1.311825258,51.76393124,SP4759007474,10,G,39,177,1
B4,b,-1.308113354,51.76391764,SP4784607475,300,G,4,322,1
B40,b,-1.312165532,51.76368993,SP4756607447,20,G,40,166,1
B43,b,-1.312140463,51.76399521,SP4756807481,340,G,43,178,1
B49,b,-1.311926141,51.76474922,SP4758207565,50,G,49,163,1
B5,b,-1.308351769,51.76348747,SP4783007427,340,G,5,325,1
B60,b,-1.313732569,51.76602754,SP4745607706,200,G,60,336,1
B62A,b,-1.314639773,51.7654484,SP4739407641,250,G,62a,181,1
B63,b,-1.314502501,51.76494409,SP4740407585,160,G,63,164,1
B69,b,-1.31279367,51.76296504,SP4752407366,20,G,69,175,1
B7,b,-1.308839997,51.76377806,SP4779607459,100,G,7,324,1
B70,b,-1.312446898,51.76290008,SP4754807359,300,G,70,174,1
B76,b,-1.310518884,51.76581093,SP4767807684,230,G,76,321,1
B78,b,-1.312237405,51.76619863,SP4755907726,300,G,78,118,1
B79,b,-1.313899224,51.76650504,SP4744407759,70,G,79,117,1
B8,b,-1.309127168,51.76395058,SP4777607478,310,G,8,330,1
B81,b,-1.312837648,51.7667506,SP4751707787,110,G,81,120,1
B86,b,-1.310400718,51.76786068,SP4768407912,350,G,86,405,1
B87,b,-1.309827931,51.76836038,SP4772307968,290,G,87,415,1
B88,b,-1.31028724,51.7686508,SP4769108000,230,G,88,413,1
B89,b,-1.309057883,51.76849073,SP4777607983,0,G,89,409,1
B90,b,-1.308675503,51.76885712,SP4780208024,120,G,90,135,1
B91,b,-1.306351293,51.76637984,SP4796507750,320,G,91,576,1
B92,b,-1.306874162,51.76630201,SP4792907741,60,G,92,569,1
B94,b,-1.307298628,51.76602578,SP4790007710,210,G,94,yes,no logger
B96,b,-1.30714901,51.76538652,SP4791107639,310,G,96,728,1
B97,b,-1.308095356,51.76509539,SP4784607606,60,G,97,420,1
B98,b,-1.307645637,51.7651287,SP4787707610,190,G,98,276,1
B99,b,-1.307967975,51.76489683,SP4785507584,150,G,99,563,1
B99A,b,-1.307768975,51.7646439,SP4786907556,90,G,99a,565,1
C1,c,-1.329996387,51.75921563,SP4634006938,45,G,1,43,1
C10,c,-1.332834197,51.75639953,SP4614706623,290,G,10,47,1
C101,c,-1.330372664,51.75924475,SP4631406941,100,G,101,51,1
C102,c,-1.33032833,51.75892126,SP4631806905,200,G,102,376,1
C104,c,-1.330772917,51.75824945,SP4628806830,230,G,104,368,1
C106,c,-1.331627637,51.75727427,SP4623006721,20,G,106,60,1
C107,c,-1.331746318,51.75708613,SP4622206700,80,G,107,42,1
C108,c,-1.331257985,51.75667003,SP4625606654,155,G,108,57,1
C109,c,-1.333494628,51.75680788,SP4610106668,250,G,109,52,1
C11,c,-1.331850567,51.75629504,SP4621506612,280,G,11,59,1
C110,c,-1.332551665,51.75689245,SP4616606678,330,G,110,55,1
C111,c,-1.331679116,51.75613223,SP4622706594,320,G,111,50,1
C112,c,-1.331287582,51.75615698,SP4625406597,345,G,112,41,1
C113,c,-1.330870262,51.75596579,SP4628306576,310,G,113,363,1
C114,c,-1.330303341,51.75598657,SP4632206578,20,G,114,370,1
C116,c,-1.329108814,51.75615401,SP4640506598,360,G,116,379,1
C117,c,-1.328660265,51.75611548,SP4643606594,340,G,117,378,1
C118,c,-1.328358002,51.75695893,SP4645606688,20,G,118,220,1
C119,c,-1.328050979,51.75714599,SP4647706709,350,G,119,210,1
C122,c,-1.328379776,51.75744458,SP4645406742,20,G,122,365,1
C123,c,-1.328319218,51.75800124,SP4645706804,310,G,123,207,1
C125,c,-1.328553609,51.75858961,SP4644106869,360,G,125,211,1
C129,c,-1.329508958,51.75750497,SP4637606748,180,G,129,371,1
C132,c,-1.330715028,51.75666667,SP4629306654,130,G,132,219,1
C133,c,-1.329934135,51.75716573,SP4634706710,260,G,133,369,1
C134,c,-1.33052464,51.75740286,SP4630606736,40,G,134,218,1
C135,c,-1.329146656,51.75984916,SP4639807009,140,G,135,29,no logger
C136,c,-1.328686322,51.75924457,SP4643106942,335,G,136,26,1
C138,c,-1.32803265,51.75935772,SP4647606955,270,G,138,39,1
C14,c,-1.330496596,51.75635972,SP4630906620,45,G,14,209,1
C140,c,-1.328287425,51.75976378,SP4645807000,250,G,140,22,1
C141,c,-1.328339775,51.76014171,SP4645407042,300,G,141,34,1
C145,c,-1.326075227,51.75945442,SP4661106967,170,G,145,221,1
C146,c,-1.325818734,51.75916523,SP4662906935,220,G,146,231,1
C149,c,-1.325794447,51.75825653,SP4663106834,200,G,149,224,1
C15,c,-1.329977207,51.7562129,SP4634506604,330,G,15,361,1
C150,c,-1.325940389,51.75818543,SP4662106826,360,G,150,229,1
C151,c,-1.327478783,51.75762825,SP4651606763,60,G,151,202,1
C152,c,-1.327189892,51.75794983,SP4653506799,200,G,152,239,1
C153,c,-1.326475571,51.75786527,SP4658506790,345,G,153,227,1
C155,c,-1.32658536,51.75865667,SP4657606878,260,G,155,228,1
C156,c,-1.327276477,51.75894835,SP4652806910,75,G,156,232,1
C157,c,-1.32797761,51.75856573,SP4648006867,120,G,157,206,1
C158,c,-1.32853105,51.759945,SP4644107020,70,G,158,35,1
C16,c,-1.329337403,51.7563711,SP4638906622,280,G,16,373,1
C160A,c,-1.330228713,51.76016103,SP4632307043,340,G,160a,54,1
C160B,c,-1.329790081,51.76042872,SP4635307073,160,G,160b,40,1
C161,c,-1.331352619,51.75862094,SP4624706871,340,G,161,44,1
C162,c,-1.331880131,51.75821933,SP4621106826,35,G,162,49,1
C163,c,-1.332423446,51.7577279,SP4617406771,290,G,163,48,1
C17,c,-1.328745052,51.75625983,SP4643006610,250,G,17,375,1
C18,c,-1.32876683,51.75674547,SP4642806664,135,G,18,215,1
C19,c,-1.328228421,51.75690424,SP4646506682,80,G,19,205,1
C2,c,-1.329952722,51.75884719,SP4634406897,110,G,2,204,1
C20,c,-1.328714708,51.75732961,SP4643106729,55,G,20,377,1
C21,c,-1.328280634,51.75729116,SP4646106725,300,G,21,214,1
C23,c,-1.328458757,51.75836168,SP4644706844,275,G,23,216,1
C24,c,-1.328977837,51.75814931,SP4641206820,85,G,24,380,1
C24A,c,-1.329477434,51.75865567,SP4637706876,290,G,24a,374,1
C24C,c,-1.32933116,51.75913092,SP4638606929,280,G,24c,21,no logger
C25,c,-1.328705486,51.75867509,SP4643006878,200,G,25,201,1
C26,c,-1.329225051,51.75808778,SP4639506813,165,G,26,212,1
C27,c,-1.329331121,51.75777369,SP4638806778,60,G,27,362,1
C28,c,-1.328957389,51.75757375,SP4641406756,300,G,28,217,1
C3,c,-1.330175352,51.75848881,SP4632906857,360,G,3,203,1
C30,c,-1.329343236,51.75695556,SP4638806687,100,G,30,372,1
C32,c,-1.330288732,51.7567002,SP4632306658,70,G,32,366,1
C33,c,-1.33041446,51.75701561,SP4631406693,40,G,33,208,1
C36,c,-1.328509806,51.75942339,SP4644306962,250,G,36,24,1
C3A,c,-1.330572032,51.75849961,SP4630106858,180,G,3a,367,1
C4,c,-1.330542185,51.75817621,SP4630406822,100,G,4,364,1
C40,c,-1.327925367,51.75975272,SP4648306999,260,G,40,23,1
C41,c,-1.32773329,51.76000338,SP4649607027,250,G,41,222,1
C42,c,-1.327180795,51.75991768,SP4653407018,330,G,42,226,1
C44,c,-1.326463584,51.75964546,SP4658406988,100,G,44,230,1
C45,c,-1.326266374,51.7592667,SP4659806946,360,G,45,238,1
C48,c,-1.325353001,51.75871255,SP4666106885,90,G,48,236,1
C49,c,-1.326110623,51.75842917,SP4660906853,260,G,49,235,1
C50,c,-1.325999676,51.75809586,SP4661706816,45,G,50,237,1
C51,c,-1.327737947,51.75773762,SP4649806775,345,G,51,213,1
C52,c,-1.326925872,51.75778692,SP4655406781,100,G,52,223,1
C53,c,-1.326906976,51.75808353,SP4655506814,115,G,53,240,1
C54,c,-1.326536101,51.75807196,SP4658006813,195,G,54,233,1
C56,c,-1.327279282,51.75875955,SP4652806889,30,G,56,225,1
C57,c,-1.327858242,51.75879882,SP4648806893,30,G,57,234,1
C58,c,-1.328665171,51.75969401,SP4643206992,230,G,58,25,1
C61,c,-1.330907108,51.75935568,SP4627706953,50,G,61,46,1
C61A,c,-1.330525115,51.75971316,SP4630306993,60,G,61a,184,1
C62,c,-1.331216923,51.75897981,SP4625606911,190,G,62,56,1
C8,c,-1.331484952,51.75652674,SP4624006638,75,G,8,45,1
C9,c,-1.333367291,51.75660036,SP4611006645,45,G,9,58,1
C9A,c,-1.332909331,51.75720018,SP4614106712,325,G,9a,53,1
CP1,cp,-1.329550928,51.7795152,SP4635009196,145,G,1,94,1
CP10,cp,-1.327950639,51.77893063,SP4646109132,120,G,10,83,1
CP11,cp,-1.328954845,51.77865764,SP4639209101,120,G,11,82,1
CP12,cp,-1.329478884,51.77850778,SP4635609084,187,G,12,81,1
CP13,cp,-1.330146258,51.77846663,SP4631009079,180,G,13,400,1
CP14,cp,-1.330165409,51.77815204,SP4630909044,270,G,14,398,1
CP14A,cp,-1.330662149,51.77830862,SP4627509061,260,G,14a,399,1
CP17,cp,-1.327065793,51.77799948,SP4652309029,45,G,17,395,1
CP18,cp,-1.32798737,51.77840935,SP4645909074,145,G,18,396,1
CP19,cp,-1.327346648,51.77763245,SP4650408988,345,G,19,391,1
CP2,cp,-1.32981513,51.78027197,SP4633109280,90,G,2,87,1
CP20,cp,-1.327771497,51.77732918,SP4647508954,215,G,20,389,1
CP21,cp,-1.329480108,51.77744683,SP4635708966,0,G,21,397,1
CP22,cp,-1.32797059,51.77661102,SP4646208874,20,G,22,386,1
CP23,cp,-1.327662363,51.77687,SP4648308903,222,G,23,382,1
CP24,cp,-1.328321976,51.77735031,SP4643708956,345,G,24,388,1
CP25,cp,-1.327350123,51.7773987,SP4650408962,210,G,25,390,1
CP26,cp,-1.326579435,51.77756512,SP4655708981,290,G,26,393,1
CP27,cp,-1.326696853,51.77746689,SP4654908970,90,G,27,392,1
CP28,cp,-1.32574166,51.77834255,SP4661409068,200,G,28,394,1
CP29,cp,-1.325742838,51.77729059,SP4661508951,320,G,29,384,1
CP3,cp,-1.329249188,51.7803137,SP4637009285,65,G,3,88,1
CP30,cp,-1.325401834,51.77683009,SP4663908900,220,G,30,383,1
CP31,cp,-1.325963049,51.77710304,SP4660008930,270,G,31,385,1
CP33,cp,-1.327059265,51.77648893,SP4652508861,260,G,33,381,1
CP34,cp,-1.325060971,51.77636059,SP4666308848,315,G,34,254,1
CP35,cp,-1.325486493,51.77601237,SP4663408809,100,G,35,253,1
CP36,cp,-1.325057338,51.77563228,SP4666408767,130,G,36,243,1
CP37,cp,-1.325104704,51.77537181,SP4666108738,335,G,37,246,1
CP38,cp,-1.321750954,51.77343784,SP4689508525,210,G,38,95,1
CP39,cp,-1.320603655,51.77359306,SP4697408543,125,G,39,98,1
CP4,cp,-1.32833605,51.78030848,SP4643309285,85,G,4,89,1
CP40,cp,-1.319167993,51.7736477,SP4707308550,180,G,40,265,1
CP40A,cp,-1.31856501,51.77326658,SP4711508508,270,G,40a,100,1
CP41,cp,-1.320204493,51.77315019,SP4700208494,315,G,41,97,1
CP42A,cp,-1.319673831,51.77277848,SP4703908453,140,G,42a,99,1
CP43,cp,-1.320976746,51.77287592,SP4694908463,270,G,43,96,1
CP5,cp,-1.328109481,51.77994754,SP4644909245,355,G,5,91,1
CP5A,cp,-1.328787905,51.78014023,SP4640209266,165,G,5a,93,1
CP5B,cp,-1.328824875,51.7798271,SP4640009231,65,G,5b,92,1
CP6,cp,-1.327382236,51.78011422,SP4649909264,330,G,6,90,1
CP7,cp,-1.326733074,51.77990371,SP4654409241,65,G,7,86,1
CP8,cp,-1.327398538,51.77901739,SP4649909142,175,G,8,85,1
CP9,cp,-1.327590832,51.77875774,SP4648609113,330,G,9,84,1
EX1,ex,-1.338921875,51.77208758,SP4571108364,152,G,1,625,1
EX10,ex,-1.342334576,51.77460627,SP4547308642,160,G,10,599,1
EX10A,ex,-1.341325307,51.77523899,SP4554208713,60,G,10a,659,1
EX11,ex,-1.342746372,51.77519299,SP4544408707,110,G,11,816,1
EX12,ex,-1.343289527,51.77571752,SP4540608765,230,G,12,630,1
EX12A,ex,-1.342216274,51.77576547,SP4548008771,220,G,12a,481,1
EX13,ex,-1.343630444,51.77619595,SP4538208818,170,G,13,492,1
EX13A,ex,-1.344754344,51.77565376,SP4530508757,20,G,13a,643,1
EX14,ex,-1.342625728,51.77651402,SP4545108854,130,G,14,493,1
EX14A,ex,-1.341068853,51.77592988,SP4555908790,160,G,14a,621,1
EX14B,ex,-1.340029108,51.77666132,SP4563008872,180,G,14b,628,1
EX15,ex,-1.341575294,51.77698468,SP4552308907,200,G,15,645,1
EX16,ex,-1.340276748,51.77757082,SP4561208973,210,G,16,484,1
EX17,ex,-1.339087763,51.77760011,SP4569408977,180,G,17,658,1
EX18,ex,-1.338849695,51.77802136,SP4571009024,70,G,18,818,1
EX18A,ex,-1.338119202,51.77742383,SP4576108958,260,G,18a,623,1
EX19,ex,-1.33743724,51.77846297,SP4580709074,130,G,19,642,1
EX19A,ex,-1.337331954,51.77773409,SP4581508993,290,G,19a,657,1
EX2,ex,-1.340005996,51.77228249,SP4563608385,84,G,2,624,1
EX20,ex,-1.336192497,51.77833906,SP4589309061,300,G,20,638,1
EX21,ex,-1.334749433,51.77888836,SP4599209123,270,G,21,123,1
EX22,ex,-1.334269682,51.77898455,SP4602509134,285,G,22,812,1
EX25,ex,-1.332871551,51.77746611,SP4612308966,230,G,25,592,1
EX26,ex,-1.332409886,51.77731963,SP4615508950,180,G,26,597,1
EX27,ex,-1.331406246,51.77657666,SP4622508868,20,G,27,589,1
EX28,ex,-1.332235667,51.77635659,SP4616808843,245,G,28,487,1
EX29,ex,-1.333106307,51.7762896,SP4610808835,305,G,29,590,1
EX29A,ex,-1.334387639,51.77589225,SP4602008790,85,G,29a,611,1
EX3,ex,-1.340502382,51.77203352,SP4560208357,182,G,3,804,1
EX30,ex,-1.334939937,51.7766171,SP4598108870,190,G,30,432,1
EX31,ex,-1.335911482,51.77674604,SP4591408884,200,G,31,647,1
EX31A,ex,-1.335381147,51.77732747,SP4595008949,145,G,31a,491,1
EX32,ex,-1.336928241,51.77659893,SP4584408867,90,G,32,488,1
EX33,ex,-1.337929711,51.77650566,SP4577508856,150,G,33,631,1
EX34,ex,-1.33885753,51.7764929,SP4571108854,330,G,34,650,1
EX34A,ex,-1.339097872,51.77690785,SP4569408900,200,G,34a,809,1
EX35,ex,-1.339211795,51.77605432,SP4568708805,30,G,35,436,1
EX35A,ex,-1.339820104,51.77608471,SP4564508808,125,G,35a,633,1
EX36,ex,-1.340100189,51.7757626,SP4562608772,40,G,36,649,1
EX37,ex,-1.340294886,51.77533212,SP4561308724,150,G,37,485,1
EX38,ex,-1.339998143,51.77480897,SP4563408666,120,G,38,598,1
EX38A,ex,-1.339490774,51.77481511,SP4566908667,215,G,38a,653,1
EX39,ex,-1.339107273,51.7752715,SP4569508718,55,G,39,820,1
EX39A,ex,-1.336695693,51.77565354,SP4586108762,135,G,39a,652,1
EX39B,ex,-1.337898989,51.77563335,SP4577808759,125,G,39b,594,1
EX39C,ex,-1.337693175,51.77484096,SP4579308671,190,G,39c,586,1
EX4,ex,-1.341293659,51.77243402,SP4554708401,107,G,4,815,1
EX40,ex,-1.338607518,51.7747562,SP4573008661,210,G,40,439,1
EX41,ex,-1.337681424,51.77366305,SP4579508540,120,G,41,814,1
EX41A,ex,-1.338271231,51.77297405,SP4575508463,188,G,41a,803,1
EX41B,ex,-1.338522192,51.77266077,SP4573808428,194,G,41b,805,1
EX41C,ex,-1.338191641,51.7724701,SP4576108407,80,G,41c,802,1
EX41D,ex,-1.336882772,51.77277742,SP4585108442,350,G,41d,813,no logger
EX42,ex,-1.33706617,51.77410915,SP4583708590,260,G,42,629,1
EX42A,ex,-1.336594247,51.77466394,SP4586908652,180,G,42a,806,1
EX43,ex,-1.3359745,51.77442667,SP4591208626,80,G,43,637,1
EX43A,ex,-1.336553409,51.77349485,SP4587308522,100,G,43a,808,1
EX43B,ex,-1.335889674,51.7732933,SP4591908500,345,G,43b,627,1
EX43C,ex,-1.334970833,51.7736563,SP4598208541,155,G,43c,646,1
EX43D,ex,-1.333467317,51.77441249,SP4608508626,250,G,43d,817,1
EX43E,ex,-1.334551074,51.77463441,SP4601008650,275,G,43e,811,1
EX44,ex,-1.336269216,51.77508469,SP4589108699,210,G,44,495,1
EX45,ex,-1.335218882,51.7755463,SP4596308751,120,G,45,655,1
EX46,ex,-1.334232582,51.77559467,SP4603108757,20,G,46,489,1
EX47,ex,-1.333062776,51.77530931,SP4611208726,200,G,47,595,1
EX47A,ex,-1.332507679,51.77560287,SP4615008759,250,G,47a,593,1
EX48,ex,-1.332229521,51.77488703,SP4617008679,160,G,48,496,1
EX48A,ex,-1.332090175,51.77541169,SP4617908738,260,G,48a,585,1
EX49,ex,-1.331142028,51.77483986,SP4624508675,95,G,49,248,1
EX49A,ex,-1.332451923,51.77446967,SP4615508633,155,G,49a,249,1
EX49B,ex,-1.331411127,51.77428393,SP4622708613,170,G,49b,126,1
EX49C,ex,-1.331565119,51.77563348,SP4621508763,235,G,49c,587,1
EX5,ex,-1.342225059,51.77216904,SP4548308371,64,G,5,819,1
EX50,ex,-1.330227403,51.77494254,SP4630808687,330,G,50,258,1
EX51,ex,-1.328939167,51.77482731,SP4639708675,80,G,51,257,1
EX51A,ex,-1.329156922,51.77578161,SP4638108781,90,G,51a,251,1
EX51B,ex,-1.330123017,51.7761198,SP4631408818,130,G,51b,250,1
EX51C,ex,-1.32917125,51.77677073,SP4637908891,150,G,51c,387,1
EX51D,ex,-1.328234071,51.77590969,SP4644508796,220,G,51d,252,1
EX52,ex,-1.327775762,51.7750904,SP4647708705,350,G,52,256,1
EX53,ex,-1.326934925,51.77510357,SP4653508707,135,G,53,242,1
EX54,ex,-1.325891057,51.77512457,SP4660708710,200,G,54,241,1
EX55,ex,-1.325505921,51.77470876,SP4663408664,230,G,55,259,1
EX56,ex,-1.326696977,51.77453577,SP4655208644,290,G,56,260,1
EX57,ex,-1.327843212,51.77445241,SP4647308634,175,G,57,247,1
EX58,ex,-1.328603083,51.77403416,SP4642108587,280,G,58,244,1
EX59,ex,-1.329026157,51.77384776,SP4639208566,210,G,59,245,1
EX5A,ex,-1.342675215,51.77210862,SP4545208364,280,G,5a,494,1
EX6,ex,-1.34217283,51.77277116,SP4548608438,64,G,6,632,1
EX60,ex,-1.329916569,51.77342126,SP4633108518,90,G,60,688,1
EX61,ex,-1.330241115,51.77303649,SP4630908475,0,G,61,699,1
EX62,ex,-1.330392551,51.77259679,SP4629908426,180,G,62,132,1
EX62A,ex,-1.33006576,51.77215436,SP4632208377,210,G,62a,691,1
EX62B,ex,-1.329957679,51.77162326,SP4633008318,70,G,62b,526,1
EX62C,ex,-1.329964732,51.77114677,SP4633008265,280,G,62c,700,1
EX62D,ex,-1.330397638,51.77084209,SP4630108231,60,G,62d,686,1
EX62E,ex,-1.330053192,51.76986998,SP4632608123,350,G,62e,690,1
EX62F,ex,-1.329279379,51.76961112,SP4637908094,230,G,62f,766,1
EX62G,ex,-1.328815401,51.76921628,SP4641208051,330,G,62g,606,1
EX62H,ex,-1.328199747,51.76867194,SP4645507991,330,G,62h,613,1
EX62I,ex,-1.328595559,51.76848341,SP4642807969,320,G,62i,696,no logger
EX63,ex,-1.331339962,51.77223354,SP4623408385,90,G,63,689,1
EX64,ex,-1.332055923,51.77282203,SP4618408450,260,G,64,535,1
EX65,ex,-1.332876262,51.77321331,SP4612708493,160,G,65,532,1
EX66,ex,-1.336512466,51.77191775,SP4587808346,80,G,66,683,1
EX67,ex,-1.335371819,51.7720406,SP4595608361,190,G,67,615,1
EX68,ex,-1.336061892,51.7714331,SP4590908293,180,G,68,771,1
EX69,ex,-1.336211421,51.77111925,SP4589908258,350,G,69,770,1
EX7,ex,-1.341077432,51.77334946,SP4556108503,90,G,7,490,1
EX70,ex,-1.336707288,51.77090626,SP4586508234,330,G,70,714,1
EX71,ex,-1.336918199,51.77035899,SP4585108173,80,G,71,769,1
EX72,ex,-1.335883396,51.77075775,SP4592208218,180,G,72,704,1
EX72A,ex,-1.336032133,51.77049785,SP4591208189,320,G,72a,718,1
EX73,ex,-1.335283346,51.77016994,SP4596408153,80,G,73,761,1
EX73A,ex,-1.334315753,51.76993968,SP4603108128,250,G,73a,777,1
EX74,ex,-1.336081803,51.77007554,SP4590908142,280,G,74,779,1
EX75,ex,-1.335986301,51.7696704,SP4591608097,280,G,75,776,1
EX75A,ex,-1.336440525,51.7693313,SP4588508059,150,G,75a,708,1
EX76,ex,-1.336246223,51.76874578,SP4589907994,330,G,76,764,1
EX77,ex,-1.334915204,51.7685944,SP4599107978,50,G,77,702,1
EX78,ex,-1.333641759,51.7684703,SP4607907965,350,G,78,773,1
EX79,ex,-1.337105671,51.77141201,SP4583708290,200,G,79,775,1
EX8,ex,-1.341127548,51.77388921,SP4555708563,280,G,8,486,1
EX80,ex,-1.337711154,51.77163121,SP4579508314,315,G,80,810,1
EX81A,ex,-1.337952118,51.77200121,SP4577808355,288,G,81a,807,1
EX84,ex,-1.333554619,51.76749876,SP4608607857,244,G,84,760,1
EX85,ex,-1.334194163,51.76736796,SP4604207842,6,G,85,751,1
EX86,ex,-1.33478919,51.76730794,SP4600107835,88,G,86,756,1
EX88,ex,-1.335948266,51.76732349,SP4592107836,152,G,88,758,1
EX89,ex,-1.337317853,51.76780774,SP4582607889,242,G,89,759,1
EX8A,ex,-1.340888079,51.77440935,SP4557308621,90,G,8a,,no logger
EX9,ex,-1.341907253,51.77409138,SP4550308585,280,G,9,498,1
EX90,ex,-1.337823961,51.76788252,SP4579107897,36,G,90,754,1
EX91,ex,-1.338286599,51.76795706,SP4575907905,348,G,91,742,1
EX92,ex,-1.338688389,51.76822905,SP4573107935,230,G,92,752,1
MP1,mp,-1.306350769,51.76735988,SP4796407859,50,G,1,315,1
MP10,mp,-1.304433678,51.7666922,SP4809707786,220,G,10,198,1
MP11,mp,-1.304523655,51.76649493,SP4809107764,40,G,11,143,1
MP12,mp,-1.304542702,51.76619833,SP4809007731,150,G,12,200,1
